;Open;High;Low;Close;Volume
2020-10-03;10570.4;10603.56;10496.46;10542.06;22298
2020-10-04;10542.07;10696.87;10517.87;10666.63;23212
2020-10-05;10666.62;10798.0;10615.64;10792.21;34025
2020-10-06;10792.2;10800.0;10525.0;10599.66;48674
2020-10-07;10599.65;10681.87;10546.17;10666.39;32811
2020-10-08;10666.4;10950.0;10530.41;10925.57;51959
2020-10-09;10925.44;11104.64;10829.0;11050.64;48240
2020-10-10;11050.64;11491.0;11050.51;11293.22;43648
2020-10-11;11293.22;11445.0;11221.0;11369.02;29043
2020-10-12;11369.02;11720.01;11172.0;11528.25;52825
2020-10-13;11528.24;11557.0;11300.0;11420.56;42205
2020-10-14;11420.57;11547.98;11280.0;11417.89;41415
2020-10-15;11417.89;11617.34;11250.83;11505.12;48760
2020-10-16;11505.13;11541.15;11200.0;11319.32;48797
2020-10-17;11319.24;11402.42;11255.0;11360.2;22368
2020-10-18;11360.31;11505.0;11346.22;11503.14;23284
2020-10-19;11503.14;11823.99;11407.96;11751.47;47414
2020-10-20;11751.46;12038.38;11677.59;11909.99;62134
2020-10-21;11910.0;13217.68;11886.95;12780.96;114584
2020-10-22;12780.75;13185.0;12678.08;12968.52;70038
2020-10-23;12968.84;13027.69;12720.08;12923.07;50386
2020-10-24;12923.06;13166.73;12870.0;13111.73;35952
2020-10-25;13111.73;13350.0;12888.0;13028.83;38481
2020-10-26;13029.64;13238.81;12765.0;13052.19;60951
2020-10-27;13052.15;13789.29;13019.87;13636.17;80796
2020-10-28;13636.16;13859.48;12888.0;13266.4;94440
2020-10-29;13266.4;13642.91;12920.77;13455.7;74872
2020-10-30;13455.69;13669.98;13115.0;13560.1;70657
2020-10-31;13560.1;14100.0;13411.5;13791.0;67339
2020-11-01;13791.0;13895.0;13603.0;13761.5;36285
2020-11-02;13761.49;13830.0;13195.05;13549.37;64566
2020-11-03;13549.63;14066.11;13284.99;14023.53;74115
2020-11-04;14023.53;14259.0;13525.0;14144.01;93016
2020-11-05;14144.01;15750.0;14093.56;15590.02;143741
2020-11-06;15590.02;15960.0;15166.0;15579.92;122618
2020-11-07;15579.93;15753.52;14344.22;14818.3;101431
2020-11-08;14818.3;15650.0;14703.88;15475.1;65547
2020-11-09;15475.1;15840.0;14805.54;15328.41;108976
2020-11-10;15328.41;15460.0;15072.46;15297.21;61681
2020-11-11;15297.21;15965.0;15272.68;15684.24;78469
2020-11-12;15684.25;16340.7;15440.64;16291.86;102196
2020-11-13;16291.85;16480.0;15952.35;16320.7;75691
2020-11-14;16320.04;16326.99;15670.0;16070.45;59116
2020-11-15;16069.56;16180.0;15774.72;15957.0;43596
2020-11-16;15957.0;16880.0;15864.0;16713.57;81300
2020-11-17;16713.08;17858.82;16538.0;17659.38;115221
2020-11-18;17659.38;18476.93;17214.45;17776.12;149019
2020-11-19;17777.75;18179.8;17335.65;17802.82;93009
2020-11-20;17802.81;18815.22;17740.04;18655.67;88423
2020-11-21;18655.66;18965.9;18308.58;18703.8;75577
2020-11-22;18703.8;18750.0;17610.86;18414.43;81645
2020-11-23;18413.88;18766.0;18000.0;18368.0;82961
2020-11-24;18368.01;19418.97;18018.0;19160.01;113581
2020-11-25;19160.0;19484.21;18500.27;18719.11;93266
2020-11-26;18718.83;18915.03;16188.0;17149.47;181005
2020-11-27;17149.47;17457.62;16438.08;17139.52;85297
2020-11-28;17139.53;17880.49;16865.56;17719.85;64910
2020-11-29;17719.84;18360.05;17517.0;18184.99;55329
2020-11-30;18185.0;19863.16;18184.99;19695.87;115463
2020-12-01;19695.87;19888.0;18001.12;18764.96;127698
2020-12-02;18764.96;19342.0;18330.0;19204.09;75911
2020-12-03;19204.08;19598.0;18867.2;19421.9;66689
2020-12-04;19422.34;19527.0;18565.31;18650.52;71283
2020-12-05;18650.51;19177.0;18500.0;19147.66;42922
2020-12-06;19147.66;19420.0;18857.0;19359.4;37043
2020-12-07;19358.67;19420.91;18902.88;19166.9;41372
2020-12-08;19166.9;19294.84;18200.0;18324.11;61626
2020-12-09;18324.11;18639.57;17650.0;18541.28;79585
2020-12-10;18541.29;18557.32;17911.12;18254.63;52890
2020-12-11;18254.81;18292.73;17572.33;18036.53;72610
2020-12-12;18036.53;18948.66;18020.7;18808.69;49519
2020-12-13;18808.69;19411.0;18711.12;19174.99;56560
2020-12-14;19174.99;19349.0;19000.0;19273.14;47257
2020-12-15;19273.69;19570.0;19050.0;19426.43;61834
2020-12-16;19426.43;21560.0;19278.6;21335.52;114306
2020-12-17;21335.52;23800.0;21230.0;22797.16;184882
2020-12-18;22797.15;23285.18;22350.0;23107.39;79646
2020-12-19;23107.39;24171.47;22750.0;23821.61;86045
2020-12-20;23821.6;24295.0;23060.0;23455.52;76690
2020-12-21;23455.54;24102.77;21815.0;22719.71;88030
2020-12-22;22719.88;23837.1;22353.4;23810.79;87033
2020-12-23;23810.79;24100.0;22600.0;23232.76;119047
2020-12-24;23232.39;23794.43;22703.42;23729.2;69013
2020-12-25;23728.99;24789.86;23433.6;24712.47;79519
2020-12-26;24712.47;26867.03;24500.0;26493.39;97806
2020-12-27;26493.4;28422.0;25700.0;26281.66;148455
2020-12-28;26281.54;27500.0;26101.0;27079.41;79721
2020-12-29;27079.42;27410.0;25880.0;27385.0;69411
2020-12-30;27385.0;28996.0;27320.0;28875.54;95356
2020-12-31;28875.55;29300.0;27850.0;28923.63;75508
2021-01-01;28923.63;29600.0;28624.57;29331.69;54182
2021-01-02;29331.7;33300.0;28946.53;32178.33;129993
2021-01-03;32176.45;34778.11;31962.99;33000.05;120957
2021-01-04;33000.05;33600.0;28130.0;31988.71;140899
2021-01-05;31989.75;34360.0;29900.0;33949.53;116049
2021-01-06;33949.53;36939.21;33288.0;36769.36;127139
2021-01-07;36769.36;40365.0;36300.0;39432.28;132825
2021-01-08;39432.48;41950.0;36500.0;40582.81;139789
2021-01-09;40586.96;41380.0;38720.0;40088.22;75785
2021-01-10;40088.22;41350.0;35111.11;38150.02;118209
2021-01-11;38150.02;38264.74;30420.0;35404.47;249131
2021-01-12;35410.37;36628.0;32531.0;34051.24;133948
2021-01-13;34049.15;37850.0;32380.0;37371.38;124477
2021-01-14;37371.38;40100.0;36701.23;39144.5;102950
2021-01-15;39145.21;39747.76;34408.0;36742.22;118300
2021-01-16;36737.43;37950.0;35357.8;35994.98;86348
2021-01-17;35994.98;36852.5;33850.0;35828.61;80157
2021-01-18;35824.99;37469.83;34800.0;36631.27;70698
2021-01-19;36622.46;37850.0;35844.06;35891.49;79611
2021-01-20;35901.94;36415.31;33400.0;35468.23;89368
2021-01-21;35468.23;35600.0;30071.0;30850.13;131803
2021-01-22;30851.99;33826.53;28850.0;32945.17;142971
2021-01-23;32950.0;33456.0;31390.16;32078.0;64595
2021-01-24;32078.0;33071.0;30900.0;32259.9;57978
2021-01-25;32259.45;34875.0;31910.0;32254.2;88499
2021-01-26;32254.19;32921.88;30837.37;32467.77;84972
2021-01-27;32464.01;32557.29;29241.72;30366.15;95911
2021-01-28;30362.19;33783.98;29842.1;33364.86;92621
2021-01-29;33368.18;38531.9;31915.4;34252.2;231827
2021-01-30;34246.28;34933.0;32825.0;34262.88;84889
2021-01-31;34262.89;34342.69;32171.67;33092.98;68742
2021-02-01;33092.97;34717.27;32296.16;33526.37;82718
2021-02-02;33517.09;35984.33;33418.0;35466.24;78056
2021-02-03;35472.71;37662.63;35362.38;37618.87;80784
2021-02-04;37620.26;38708.27;36161.95;36936.66;92080
2021-02-05;36936.65;38310.12;36570.0;38290.24;66681
2021-02-06;38289.32;40955.51;38215.94;39186.94;98757
2021-02-07;39181.01;39700.0;37351.0;38795.69;84363
2021-02-08;38795.69;46794.45;37988.89;46374.87;138597
2021-02-09;46374.86;48142.19;44961.09;46420.42;115499
2021-02-10;46420.42;47310.0;43727.0;44807.58;97154
2021-02-11;44807.58;48678.9;43994.02;47969.51;89561
2021-02-12;47968.66;48985.8;46125.0;47287.6;85870
2021-02-13;47298.15;48150.0;46202.53;47153.69;63768
2021-02-14;47156.78;49707.43;47014.17;48577.79;73735
2021-02-15;48580.47;49010.92;45570.79;47911.1;79398
2021-02-16;47911.1;50689.18;47003.62;49133.45;88813
2021-02-17;49133.45;52618.74;48947.0;52119.71;85743
2021-02-18;52117.67;52530.0;50901.9;51552.6;60758
2021-02-19;51552.61;56368.0;50710.2;55906.0;79659
2021-02-20;55906.0;57700.46;53863.93;55841.19;80948
2021-02-21;55841.19;58352.8;55477.59;57408.57;58166
2021-02-22;57412.35;57508.47;47622.0;54087.67;134019
2021-02-23;54087.67;54183.59;44892.56;48891.0;169375
2021-02-24;48891.0;51374.99;46988.69;49676.2;91881
2021-02-25;49676.21;52041.73;46674.34;47073.73;83310
2021-02-26;47073.73;48424.11;44106.78;46276.87;109423
2021-02-27;46276.88;48394.0;45000.0;46106.43;66060
2021-02-28;46103.67;46638.46;43000.0;45135.66;83055
2021-03-01;45134.11;49790.0;44950.53;49587.03;85086
2021-03-02;49595.76;50200.0;47047.6;48440.65;64221
2021-03-03;48436.61;52640.0;48100.71;50349.37;81035
2021-03-04;50349.37;51773.88;47500.0;48374.09;82649
2021-03-05;48374.09;49448.93;46300.0;48751.71;78192
2021-03-06;48746.81;49200.0;47070.0;48882.2;44399
2021-03-07;48882.2;51450.03;48882.2;50971.75;55235
2021-03-08;50959.11;52402.78;49274.67;52375.17;66987
2021-03-09;52375.18;54895.0;51789.41;54884.5;71656
2021-03-10;54874.67;57387.69;53005.0;55851.59;84749
2021-03-11;55851.59;58150.0;54272.82;57773.16;81914
2021-03-12;57773.15;58081.51;54962.84;57221.72;73405
2021-03-13;57221.72;61844.0;56078.23;61188.39;83245
2021-03-14;61188.38;61724.79;58966.78;58968.31;52601
2021-03-15;58976.08;60633.43;54600.0;55605.2;102771
2021-03-16;55605.2;56938.29;53271.34;56900.75;77986
2021-03-17;56900.74;58974.73;54123.69;58912.97;70421
2021-03-18;58912.97;60129.97;57023.0;57648.16;66580
2021-03-19;57641.0;59468.0;56270.74;58030.01;52392
2021-03-20;58030.01;59880.0;57820.17;58102.28;44476
2021-03-21;58100.02;58589.1;55450.11;57351.56;48564
2021-03-22;57351.56;58430.73;53650.0;54083.25;62581
2021-03-23;54083.25;55830.9;53000.0;54340.89;59789
2021-03-24;54342.8;57200.0;51700.0;52303.65;83537
2021-03-25;52303.66;53287.0;50427.56;51293.78;87400
2021-03-26;51293.78;55073.46;51214.6;55025.59;63813
2021-03-27;55025.59;56700.36;53950.0;55817.14;50105
2021-03-28;55817.14;56559.75;54691.84;55777.63;39050
2021-03-29;55777.65;58405.82;54800.01;57635.47;67857
2021-03-30;57635.46;59368.0;57071.35;58746.57;55122
2021-03-31;58746.57;59800.0;56769.0;58740.55;60975
2021-04-01;58739.46;59490.0;57935.45;58720.44;47415
2021-04-02;58720.45;60200.0;58428.57;58950.01;47382
2021-04-03;58950.01;59791.72;56880.0;57051.94;47409
2021-04-04;57051.95;58492.85;56388.0;58202.01;41314
2021-04-05;58202.01;59272.0;56777.77;59129.99;54258
2021-04-06;59129.99;59495.24;57413.02;57991.15;54201
2021-04-07;57990.03;58655.0;55473.0;55953.45;71228
2021-04-08;55953.44;58153.31;55700.0;58077.52;44283
2021-04-09;58077.52;58894.9;57654.0;58142.54;40831
2021-04-10;58142.55;61500.0;57900.01;59769.13;69906
2021-04-11;59769.13;60699.0;59232.52;60002.43;41156
2021-04-12;59998.8;61300.0;59350.59;59860.0;56375
2021-04-13;59860.01;63777.77;59805.15;63575.0;82848
2021-04-14;63575.01;64854.0;61301.0;62959.53;82616
2021-04-15;62959.53;63800.0;62020.0;63159.98;51649
2021-04-16;63158.74;63520.61;60000.0;61334.8;91764
2021-04-17;61334.81;62506.05;59580.91;60006.66;58912
2021-04-18;60006.67;60499.0;50931.3;56150.01;124882
2021-04-19;56150.01;57526.81;54221.58;55633.14;78229
2021-04-20;55633.14;57076.24;53329.96;56425.0;72744
2021-04-21;56425.0;56757.91;53536.02;53787.63;66984
2021-04-22;53787.62;55521.48;50500.0;51690.96;104656
2021-04-23;51690.95;52131.85;47500.0;51125.14;132230
2021-04-24;51110.56;51166.22;48657.14;50047.84;55361
2021-04-25;50047.84;50567.91;46930.0;49066.77;58255
2021-04-26;49066.76;54356.62;48753.44;54001.39;86310
2021-04-27;54001.38;55460.0;53222.0;55011.97;54064
2021-04-28;55011.97;56428.0;53813.16;54846.22;55130
2021-04-29;54846.23;55195.84;52330.94;53555.0;52486
2021-04-30;53555.0;57963.0;53013.01;57694.27;68578
2021-05-01;57697.25;58458.07;56956.14;57800.37;42600
2021-05-02;57797.35;57911.02;56035.25;56578.21;36812
2021-05-03;56578.21;58981.44;56435.0;57169.39;57649
2021-05-04;57169.39;57200.0;53046.69;53200.01;85324
2021-05-05;53205.05;58069.82;52900.0;57436.11;77263
2021-05-06;57436.11;58360.0;55200.0;56393.68;70181
2021-05-07;56393.68;58650.0;55241.63;57314.75;74542
2021-05-08;57315.49;59500.0;56900.0;58862.05;69709
2021-05-09;58866.53;59300.0;56235.66;58240.84;69806
2021-05-10;58240.83;59500.0;53400.0;55816.14;89586
2021-05-11;55816.14;56862.43;54370.0;56670.02;64329
2021-05-12;56670.02;58000.01;48600.0;49631.32;99842
2021-05-13;49537.15;51367.19;46000.0;49670.97;147332
2021-05-14;49671.92;51483.0;48799.75;49841.45;80082
2021-05-15;49844.16;50700.0;46555.0;46762.99;89437
2021-05-16;46762.99;49795.89;43825.39;46431.5;114269
2021-05-17;46426.83;46686.0;42001.0;43538.04;166657
2021-05-18;43538.02;45799.29;42250.02;42849.78;116979
2021-05-19;42849.78;43584.9;30000.0;36690.09;354347
2021-05-20;36671.23;42451.67;34850.0;40526.64;203017
2021-05-21;40525.39;42200.0;33488.0;37252.01;202100
2021-05-22;37263.35;38829.0;35200.62;37449.73;126542
2021-05-23;37458.51;38270.64;31111.01;34655.25;217136
2021-05-24;34681.44;39920.0;34031.0;38796.29;161630
2021-05-25;38810.99;39791.77;36419.62;38324.72;111996
2021-05-26;38324.72;40841.0;37800.44;39241.91;104780
2021-05-27;39241.92;40411.14;37134.27;38529.98;86547
2021-05-28;38529.99;38877.83;34684.0;35663.49;135377
2021-05-29;35661.79;37338.58;33632.76;34605.15;112663
2021-05-30;34605.15;36488.0;33379.0;35641.27;73535
2021-05-31;35641.26;37499.0;34153.84;37253.81;94160
2021-06-01;37253.82;37894.81;35666.0;36693.09;81234
2021-06-02;36694.85;38225.0;35920.0;37568.68;67587
2021-06-03;37568.68;39476.0;37170.0;39246.79;75889
2021-06-04;39246.78;39289.07;35555.15;36829.0;91317
2021-06-05;36829.15;37925.0;34800.0;35513.2;70459
2021-06-06;35516.07;36480.0;35222.0;35796.31;47650
2021-06-07;35796.31;36900.0;33300.0;33552.79;77574
2021-06-08;33556.96;34068.01;31000.0;33380.81;123251
2021-06-09;33380.8;37534.79;32396.82;37388.05;136607
2021-06-10;37388.05;38491.0;35782.0;36675.72;109527
2021-06-11;36677.83;37680.4;35936.77;37331.98;78466
2021-06-12;37331.98;37463.63;34600.36;35546.11;87717
2021-06-13;35546.12;39380.0;34757.0;39020.57;86921
2021-06-14;39020.56;41064.05;38730.0;40516.29;108522
2021-06-15;40516.28;41330.0;39506.4;40144.04;80679
2021-06-16;40143.8;40527.14;38116.01;38349.01;87771
2021-06-17;38349.0;39559.88;37365.0;38092.97;79541
2021-06-18;38092.97;38202.84;35129.29;35819.84;95228
2021-06-19;35820.48;36457.0;34803.52;35483.72;68712
2021-06-20;35483.72;36137.72;33336.0;35600.16;89878
2021-06-21;35600.17;35750.0;31251.23;31608.93;168778
2021-06-22;31614.12;33298.78;28805.0;32509.56;204208
2021-06-23;32509.56;34881.0;31683.0;33678.07;126966
2021-06-24;33675.07;35298.0;32286.57;34663.09;86625
2021-06-25;34663.08;35500.0;31275.0;31584.45;116061
2021-06-26;31576.09;32730.0;30151.0;32283.65;107820
2021-06-27;32283.65;34749.0;31973.45;34700.34;96613
2021-06-28;34702.49;35297.71;33862.72;34494.89;82222
2021-06-29;34494.89;36600.0;34225.43;35911.73;90788
2021-06-30;35911.72;36100.0;34017.55;35045.0;77152
2021-07-01;35045.0;35057.57;32711.0;33504.69;71708
2021-07-02;33502.33;33977.04;32699.0;33786.55;56172
2021-07-03;33786.54;34945.61;33316.73;34669.13;43044
2021-07-04;34669.12;35967.85;34357.15;35286.51;43703
2021-07-05;35288.13;35293.78;33125.55;33690.14;64123
2021-07-06;33690.15;35118.88;33532.0;34220.01;58210
2021-07-07;34220.02;35059.09;33777.77;33862.12;53807
2021-07-08;33862.11;33929.64;32077.0;32875.71;70136
2021-07-09;32875.71;34100.0;32261.07;33815.81;47153
2021-07-10;33815.81;34262.0;33004.78;33502.87;34761
2021-07-11;33502.87;34666.0;33306.47;34258.99;31572
2021-07-12;34259.0;34678.43;32658.34;33086.63;48181
2021-07-13;33086.94;33340.0;32202.25;32729.77;41126
2021-07-14;32729.12;33114.03;31550.0;32820.02;46777
2021-07-15;32820.03;33185.25;31133.0;31880.0;51639
2021-07-16;31874.49;32249.18;31020.0;31383.87;48499
2021-07-17;31383.86;31955.92;31164.31;31520.07;34012
2021-07-18;31520.07;32435.0;31108.97;31778.56;35923
2021-07-19;31778.57;31899.0;30407.44;30839.65;47340
2021-07-20;30839.65;31063.07;29278.0;29790.35;61034
2021-07-21;29790.34;32858.0;29482.61;32144.51;82796
2021-07-22;32144.51;32591.35;31708.0;32287.83;46148
2021-07-23;32287.58;33650.0;31924.32;33634.09;50112
2021-07-24;33634.1;34500.0;33401.14;34258.14;47977
2021-07-25;34261.51;35398.0;33851.12;35381.02;47852
2021-07-26;35381.02;40550.0;35205.78;37237.6;152452
2021-07-27;37241.33;39542.61;36383.0;39457.87;88397
2021-07-28;39456.61;40900.0;38772.0;40019.56;101344
2021-07-29;40019.57;40640.0;39200.0;40016.48;53998
2021-07-30;40018.49;42316.71;38313.23;42206.37;73602
2021-07-31;42206.36;42448.0;41000.15;41461.83;44849
2021-08-01;41461.84;42599.0;39422.01;39845.44;53953
2021-08-02;39850.27;40480.01;38690.0;39147.82;50837
2021-08-03;39146.86;39780.0;37642.03;38207.05;57117
2021-08-04;38207.04;39969.66;37508.56;39723.18;52329
2021-08-05;39723.17;41350.0;37332.7;40862.46;84343
2021-08-06;40862.46;43392.43;39853.86;42836.87;75753
2021-08-07;42836.87;44700.0;42446.41;44572.54;73396
2021-08-08;44572.54;45310.0;43261.0;43794.37;69329
2021-08-09;43794.36;46454.15;42779.0;46253.4;74587
2021-08-10;46248.87;46700.0;44589.46;45584.99;53814
2021-08-11;45585.0;46743.47;45341.14;45511.0;52734
2021-08-12;45510.67;46218.12;43770.0;44399.0;55266
2021-08-13;44400.06;47886.0;44217.39;47800.0;48239
2021-08-14;47799.99;48144.0;45971.03;47068.51;46114
2021-08-15;47068.5;47372.27;45500.0;46973.82;42110
2021-08-16;46973.82;48053.83;45660.0;45901.29;52480
2021-08-17;45901.3;47160.0;44376.0;44695.95;57039
2021-08-18;44695.95;46000.0;44203.28;44705.29;54099
2021-08-19;44699.37;47033.0;43927.7;46760.62;53411
2021-08-20;46760.62;49382.99;46622.99;49322.47;56850
2021-08-21;49322.47;49757.04;48222.0;48821.87;46745
2021-08-22;48821.88;49500.0;48050.0;49239.22;37007
2021-08-23;49239.22;50500.0;49029.0;49488.85;52462
2021-08-24;49488.85;49860.0;47600.0;47674.01;51014
2021-08-25;47674.01;49264.3;47126.28;48973.32;44655
2021-08-26;48973.32;49352.84;46250.0;46843.87;49371
2021-08-27;46843.86;49149.93;46348.0;49069.9;42068
2021-08-28;49069.9;49299.0;48346.88;48895.35;26681
2021-08-29;48895.35;49632.27;47762.54;48767.83;32652
2021-08-30;48767.84;48888.61;46853.0;46982.91;40288
2021-08-31;46982.91;48246.11;46700.0;47100.89;48645
2021-09-01;47100.89;49156.0;46512.0;48810.52;49904
2021-09-02;48810.51;50450.13;48584.06;49246.64;54410
2021-09-03;49246.63;51000.0;48316.84;49999.14;59025
2021-09-04;49998.0;50535.69;49370.0;49915.64;34664
2021-09-05;49917.54;51900.0;49450.0;51756.88;40544
2021-09-06;51756.88;52780.0;50969.33;52663.9;49249
2021-09-07;52666.2;52920.0;42843.05;46863.73;123048
2021-09-08;46868.57;47340.99;44412.02;46048.31;65069
2021-09-09;46048.31;47399.97;45513.08;46395.14;50651
2021-09-10;46395.14;47033.0;44132.29;44850.91;49048
2021-09-11;44842.2;45987.93;44722.22;45173.69;30440
2021-09-12;45173.68;46460.0;44742.06;46025.24;32094
2021-09-13;46025.23;46880.0;43370.0;44940.73;65429
2021-09-14;44940.72;47250.0;44594.44;47111.52;44855
2021-09-15;47103.28;48500.0;46682.32;48121.41;43204
2021-09-16;48121.4;48557.0;47021.1;47737.82;40725
2021-09-17;47737.81;48150.0;46699.56;47299.98;34461
2021-09-18;47299.98;48843.2;47035.56;48292.74;30906
