;open_time;Open;High;Low;Close;Volume;close_time
2021-09-16 14:59:59.999;1631811600000.0;47950.01;48030.0;47368.08;47397.43;1692;1631815199999.0
2021-09-16 15:59:59.999;1631815200000.0;47397.43;47655.99;47269.0;47655.99;1714;1631818799999.0
2021-09-16 16:59:59.999;1631818800000.0;47655.99;47736.0;47420.36;47430.01;953;1631822399999.0
2021-09-16 17:59:59.999;1631822400000.0;47430.0;47537.25;47021.1;47146.62;2233;1631825999999.0
2021-09-16 18:59:59.999;1631826000000.0;47146.62;47690.11;47085.57;47669.5;1373;1631829599999.0
2021-09-16 19:59:59.999;1631829600000.0;47669.51;47774.89;47524.92;47638.42;793;1631833199999.0
2021-09-16 20:59:59.999;1631833200000.0;47638.41;47942.41;47575.15;47737.82;870;1631836799999.0
2021-09-16 21:59:59.999;1631836800000.0;47737.81;47880.0;47499.04;47499.99;1128;1631840399999.0
2021-09-16 22:59:59.999;1631840400000.0;47499.99;48094.26;47450.44;48028.01;1699;1631843999999.0
2021-09-16 23:59:59.999;1631844000000.0;48028.02;48076.43;47728.0;47744.27;830;1631847599999.0
2021-09-17 00:59:59.999;1631847600000.0;47744.27;48069.99;47715.35;47899.83;833;1631851199999.0
2021-09-17 01:59:59.999;1631851200000.0;47899.83;48132.82;47741.66;48071.87;1227;1631854799999.0
2021-09-17 02:59:59.999;1631854800000.0;48071.14;48150.0;47940.12;48044.84;977;1631858399999.0
2021-09-17 03:59:59.999;1631858400000.0;48040.18;48099.62;47809.84;48057.62;1238;1631861999999.0
2021-09-17 04:59:59.999;1631862000000.0;48057.62;48130.0;47652.51;47719.73;1271;1631865599999.0
2021-09-17 05:59:59.999;1631865600000.0;47719.73;47986.78;47644.36;47915.56;1242;1631869199999.0
2021-09-17 06:59:59.999;1631869200000.0;47915.57;47989.2;47700.0;47720.99;1332;1631872799999.0
2021-09-17 07:59:59.999;1631872800000.0;47721.0;47782.24;47324.87;47454.4;2501;1631876399999.0
2021-09-17 08:59:59.999;1631876400000.0;47454.4;47789.87;47278.9;47403.56;2191;1631879999999.0
2021-09-17 09:59:59.999;1631880000000.0;47403.56;47529.35;47222.13;47464.92;2007;1631883599999.0
2021-09-17 10:59:59.999;1631883600000.0;47464.92;47464.92;47126.1;47240.34;1559;1631887199999.0
2021-09-17 11:59:59.999;1631887200000.0;47240.33;47563.98;47214.93;47489.37;1224;1631890799999.0
2021-09-17 12:59:59.999;1631890800000.0;47489.36;47656.35;47425.85;47527.52;1086;1631894399999.0
2021-09-17 13:59:59.999;1631894400000.0;47527.52;47730.0;47353.69;47619.14;1270;1631897999999.0
2021-09-17 14:59:59.999;1631898000000.0;47619.15;47672.41;47213.0;47247.38;860;1631901599999.0
2021-09-17 15:59:59.999;1631901600000.0;47247.39;47333.05;46750.47;47195.51;3086;1631905199999.0
2021-09-17 16:59:59.999;1631905200000.0;47195.5;47543.0;47073.26;47501.68;1108;1631908799999.0
2021-09-17 17:59:59.999;1631908800000.0;47501.68;47578.94;46966.0;46970.96;1201;1631912399999.0
2021-09-17 18:59:59.999;1631912400000.0;46970.96;47285.13;46699.56;47269.29;2007;1631915999999.0
2021-09-17 19:59:59.999;1631916000000.0;47269.28;47440.01;46913.51;46968.29;1671;1631919599999.0
2021-09-17 20:59:59.999;1631919600000.0;46968.29;47312.24;46889.05;47299.98;904;1631923199999.0
2021-09-17 21:59:59.999;1631923200000.0;47299.98;47382.23;47035.56;47382.22;1082;1631926799999.0
2021-09-17 22:59:59.999;1631926800000.0;47382.23;47688.0;47329.41;47597.33;1404;1631930399999.0
2021-09-17 23:59:59.999;1631930400000.0;47597.34;47689.89;47529.69;47651.48;858;1631933999999.0
2021-09-18 00:59:59.999;1631934000000.0;47651.47;47987.49;47651.47;47924.57;1218;1631937599999.0
2021-09-18 01:59:59.999;1631937600000.0;47924.57;48339.0;47919.91;48329.3;2144;1631941199999.0
2021-09-18 02:59:59.999;1631941200000.0;48329.3;48843.2;48283.27;48678.99;3815;1631944799999.0
2021-09-18 03:59:59.999;1631944800000.0;48682.03;48767.33;48496.45;48590.87;1735;1631948399999.0
