index,Open,High,Low,Close,Volume,Adj Close
2020-10-19,0.4,1.49,0.18,0.9033,76091530.31,
2020-10-26,0.9032,0.9214,0.659,0.751,21663233.16,
2020-11-02,0.751,0.9081,0.6501,0.835,12748794.41,
2020-11-09,0.8363,1.452,0.8321,1.2875,22890135.88,
2020-11-16,1.2832,1.6988,1.21,1.3107,19115502.44,
2020-11-23,1.3114,1.5084,0.95,1.1341,10267774.79,
2020-11-30,1.133,1.8888,1.0701,1.5902,17401873.79,
2020-12-07,1.5902,2.39,1.5232,2.2697,19392950.09,
2020-12-14,2.271,3.9368,2.1711,2.9954,30785878.88,
2020-12-21,2.9821,5.35,2.6939,4.8049,30051875.56,
2020-12-28,4.802,5.0914,3.5289,4.4294,9719211.37,
2021-01-04,4.4294,4.97,3.8552,4.4075,7463504.14,
2021-01-11,4.4107,6.95,3.75,6.1786,10064848.16,
2021-01-18,6.1789,11.2,6.1414,8.792,12609309.01,
2021-01-25,8.793,9.99,7.1802,9.5066,8451766.78,
2021-02-01,9.5001,13.95,8.8,11.4951,8017056.89,
2021-02-08,11.5186,17.35,11.0449,14.8971,8268377.69,
2021-02-15,14.8971,18.15,12.27,14.3568,5970582.37,
2021-02-22,14.3532,16.85,10.9,12.198,7119597.33,
2021-03-01,12.22,14.1684,11.3001,12.1575,3060290.83,
2021-03-08,12.1605,13.7077,11.2,11.63,3513626.74,
2021-03-15,11.6299,14.2,10.7809,12.2943,4936589.63,
2021-03-22,12.2983,14.2909,9.8666,12.3399,4029388.88,
2021-03-29,12.372,15.15,12.0501,13.4806,3815127.37,
2021-04-05,13.4924,15.7154,12.6666,13.5528,5019567.76,
2021-04-12,13.5599,15.19,11.5392,12.13,4311462.05,
2021-04-19,12.1481,21.5582,10.9111,16.016,18590515.438,
2021-04-26,15.971,25.067,15.765,19.832,13261845.851,
2021-05-03,19.831,21.45,16.714,19.152,4782444.668,
2021-05-10,19.153,25.306,15.095,15.833,12118463.156,
2021-05-17,15.822,18.831,5.8,7.712,11170738.76,
2021-05-24,7.703,11.584,7.498,8.487,5784136.722,
2021-05-31,8.471,11.379,8.1,9.276,4623164.225,
2021-06-07,9.275,9.973,7.07,8.234,6193654.622,
2021-06-14,8.247,9.244,6.989,7.65,4817491.132,
2021-06-21,7.637,7.841,4.88,5.81,5723984.67,
2021-06-28,5.817,7.458,5.672,7.102,4277693.857,
2021-07-05,7.1,8.323,6.543,6.917,5132734.58,
2021-07-12,6.905,8.363,6.131,6.238,6438179.906,
2021-07-19,6.238,6.376,4.962,6.135,4723966.922,
2021-07-26,6.143,7.329,5.779,6.556,6438464.678,
2021-08-02,6.556,9.488,6.268,8.484,11718436.55,
2021-08-09,8.489,9.864,7.9,9.383,6957303.28,
2021-08-16,9.383,15.0,8.916,12.584,9722235.039,
2021-08-23,12.59,13.323,10.603,11.087,4733831.165,
2021-08-30,11.087,14.915,10.8,13.382,8072086.396,
2021-09-06,13.382,16.644,10.727,12.213,8734760.31,
2021-09-13,12.221,12.29,10.493,10.918,5163885.488,
2021-09-20,10.932,11.194,7.852,10.682,8665466.566,
2021-09-27,10.674,12.079,9.112,10.83,5708068.9,
2021-10-04,10.819,13.071,9.597,10.929,5057133.5,
2021-10-11,10.928,12.633,9.94,11.995,4548874.5,
2021-10-18,11.988,14.4,11.637,12.011,5240176.5,
2021-10-25,12.012,13.248,10.448,10.85,3680716.0,
2021-11-01,10.85,14.471,10.496,13.234,6548278.6,
2021-11-08,13.235,14.878,11.27,11.906,5842884.6,
2021-11-15,11.921,14.55,10.43,12.377,9234292.5,
2021-11-22,12.389,14.55,11.362,12.136,6781852.7,
2021-11-29,12.121,14.309,9.497,9.832,4146027.4,
2021-12-06,9.851,12.975,8.415,9.392,9690397.5,
2021-12-13,9.392,9.45,7.759,8.225,4215741.776,
2021-12-20,8.211,9.5,7.447,9.3,2145096.493,
2021-12-27,9.291,10.337,8.217,8.551,2273466.0,
2022-01-03,8.569,8.6,6.5,6.74,2122750.632,
2022-01-10,6.739,7.6,6.327,7.234,2348757.7,
2022-01-17,7.222,7.23,4.15,4.408,3070967.582,
2022-01-24,4.407,4.974,3.75,4.291,2993351.515,
2022-01-31,4.298,4.791,3.915,4.742,2363389.2,
2022-02-07,4.727,10.059,4.641,6.07,56218772.2,
2022-02-14,6.059,7.676,5.062,5.64,25911102.9,
2022-02-21,5.65,6.85,4.558,5.206,22499160.1,
2022-02-28,5.207,6.66,5.143,5.377,15643128.8,
2022-03-07,5.371,5.988,4.902,4.995,7267390.7,
2022-03-14,4.994,5.76,4.98,5.317,6216348.6,
2022-03-21,5.324,6.425,5.22,6.108,5897905.2,
2022-03-28,6.113,6.5,5.825,6.324,5452566.6,
2022-04-04,6.324,7.587,5.85,6.067,8958304.2,
2022-04-11,6.071,6.12,5.083,5.116,2461343.6,
2022-04-18,5.118,5.44,4.553,4.572,3580617.8,
2022-04-25,4.571,4.945,3.418,3.614,5255984.0,
2022-05-02,3.615,5.3,3.466,3.535,23382976.5,
2022-05-09,3.535,3.652,1.528,2.213,12219987.6,
2022-05-16,2.212,2.759,1.953,2.25,10375959.1,
2022-05-23,2.249,2.55,1.861,2.104,6943478.4,
2022-05-30,2.102,2.343,1.987,2.017,3466092.4,
2022-06-06,2.024,2.4,1.545,1.547,15264902.2,
2022-06-13,1.543,1.807,1.13,1.301,19149099.871,
2022-06-20,1.301,1.563,1.244,1.355,9302346.2,
2022-06-27,1.356,1.43,1.308,1.378,1613425.7,
