index,Open,High,Low,Close,Volume,Adj Close
2020-08-31,0.5081200003623962,0.710207998752594,0.432464987039566,0.4474900066852569,136719.0,0.4474900066852569
2020-09-07,0.4476360082626343,0.7734479904174805,0.4093579947948456,0.6875309944152832,3963755.0,0.6875309944152832
2020-09-14,0.6876969933509827,0.7816110253334045,0.5831109881401062,0.7414119839668274,4404071.0,0.7414119839668274
2020-09-21,0.7414119839668274,0.776528000831604,0.5114150047302246,0.5994859933853149,2418135.0,0.5994859933853149
2020-09-28,0.5994799733161926,3.816538095474243,0.5940870046615601,1.0311620235443115,3477916.0,1.0311620235443115
2020-10-05,1.03158700466156,7.357683181762695,0.6304699778556824,5.95042896270752,10638059.0,5.95042896270752
2020-10-12,5.930836200714111,6.156207084655762,3.588762044906616,5.977218151092529,2186300.0,5.977218151092529
2020-10-19,5.977218151092529,6.285568237304688,4.831244945526123,4.832277774810791,437555.0,4.832277774810791
2020-10-26,4.832246780395508,5.365960121154785,1.24931800365448,4.113516807556152,17881.0,4.113516807556152
2020-11-02,4.120859146118164,4.574679851531982,0.3739930093288421,0.5536159873008728,5359.0,0.5536159873008728
2020-11-09,0.5535690188407898,2.809307098388672,0.3199430108070373,2.782352924346924,315.0,2.782352924346924
2020-11-16,2.7812271118164062,2.895972967147827,0.3982050120830536,0.4497640132904053,445.0,0.4497640132904053
2020-11-23,0.4495469927787781,0.6713820099830627,0.4357120096683502,0.5453469753265381,451.0,0.5453469753265381
2020-11-30,0.545324981212616,0.9769420027732848,0.2184289991855621,0.822039008140564,134.0,0.822039008140564
2020-12-07,0.8223109841346741,0.8251460194587708,0.4116930067539215,0.4515309929847717,61.0,0.4515309929847717
2020-12-14,0.451568990945816,0.4915339946746826,0.3110170066356659,0.3528389930725097,126.0,0.3528389930725097
2020-12-21,0.3520709872245788,0.446725994348526,0.0230279993265867,0.3833830058574676,173.0,0.3833830058574676
2020-12-28,0.3829070031642914,0.4480609893798828,0.005812999792397,0.4385949969291687,419.0,0.4385949969291687
2021-01-04,0.4374299943447113,0.5817300081253052,0.3831619918346405,0.5324090123176575,687.0,0.5324090123176575
2021-01-11,0.5322499871253967,0.5322499871253967,0.0760689973831176,0.0961899980902671,77.0,0.0961899980902671
2021-01-18,0.0962369963526725,0.9622849822044371,0.0829230025410652,0.662755012512207,487.0,0.662755012512207
2021-01-25,0.6626750230789185,0.6992459893226624,0.2311789989471435,0.2439969927072525,1045.0,0.2439969927072525
2021-02-01,0.2437810003757476,0.4154089987277984,0.2384500056505203,0.3800939917564392,1579.0,0.3800939917564392
2021-02-08,0.3800869882106781,0.6524559855461121,0.1020630002021789,0.3111549913883209,368.0,0.3111549913883209
2021-02-15,0.3111909925937652,0.3943260014057159,0.1212709993124008,0.2081429958343505,545.0,0.2081429958343505
2021-02-22,0.2082999944686889,0.6387450098991394,0.0989559963345527,0.2558830082416534,867.0,0.2558830082416534
2021-03-01,0.2559309899806976,0.4389950037002563,0.1905589997768402,0.1956849992275238,299.0,0.1956849992275238
2021-03-08,0.1956100016832351,0.2986940145492553,0.1891130059957504,0.2267130017280578,188.0,0.2267130017280578
2021-03-15,0.2265350073575973,0.2903609871864319,0.1927980035543441,0.2778010070323944,65.0,0.2778010070323944
2021-03-22,0.2778379917144775,0.2824169993400574,0.2335260063409805,0.270249992609024,723.0,0.270249992609024
2021-03-29,4.502,22.5,4.502,5.674,30820976.8,
2021-04-05,5.671,5.699,3.288,4.301,52306275.463,
2021-04-12,4.302,4.65,2.18,2.46,32807861.299,
2021-04-19,2.46,3.11,1.451,1.543,36507177.415,
2021-04-26,1.545,3.49,1.519,3.096,130599430.217,
2021-05-03,3.096,3.796,2.136,2.28,122748232.831,
2021-05-10,2.28,2.416,1.53,1.78,81539768.336,
2021-05-17,1.778,1.807,0.518,0.633,66282076.766,
2021-05-24,0.634,0.98,0.59,0.929,85078988.036,
2021-05-31,0.93,1.23,0.773,0.81,130211686.458,
2021-06-07,0.81,0.856,0.61,0.68,48548639.82,
2021-06-14,0.68,0.735,0.53,0.568,47675608.757,
2021-06-21,0.569,0.573,0.334,0.414,58543951.128,
2021-06-28,0.414,0.459,0.362,0.429,54902974.392,
2021-07-05,0.429,0.555,0.389,0.491,132304718.206,
2021-07-12,0.491,0.797,0.433,0.443,346235824.989,
2021-07-19,0.444,0.648,0.344,0.627,342280277.739,
2021-07-26,0.628,0.675,0.483,0.528,347540024.264,
2021-08-02,0.528,0.689,0.517,0.588,272408593.673,
2021-08-09,0.588,0.857,0.561,0.826,428509618.757,
2021-08-16,0.826,0.845,0.672,0.764,288226896.367,
2021-08-23,0.764,1.1635,0.656,0.9778,801785901.061,
2021-08-30,0.9778,1.0026,0.8167,0.861,359155526.0,
2021-09-06,0.8612,0.955,0.54,0.658,392149624.694,
2021-09-13,0.6572,0.759,0.59,0.6255,273375473.0,
2021-09-20,0.626,0.6486,0.4175,0.475,236990540.468,
2021-09-27,0.4742,0.557,0.4487,0.5307,180823378.0,
2021-10-04,0.5307,0.6581,0.505,0.5349,302055595.0,
2021-10-11,0.5349,0.674,0.47,0.5837,283503130.0,
2021-10-18,0.5833,0.614,0.5253,0.5268,157976540.0,
2021-10-25,0.5273,0.579,0.4681,0.5074,248005300.0,
2021-11-01,0.5077,0.6857,0.4902,0.5998,382987474.0,
2021-11-08,0.5998,0.62,0.5177,0.539,194114889.0,
2021-11-15,0.539,0.5819,0.4324,0.5043,206660655.0,
2021-11-22,0.5043,0.52,0.4201,0.4554,164029371.0,
2021-11-29,0.4564,0.495,0.2973,0.3425,194919538.298,
2021-12-06,0.3425,0.36,0.2835,0.3065,156880890.0,
2021-12-13,0.3063,0.3112,0.2425,0.2662,154086353.654,
2021-12-20,0.2662,0.2871,0.2407,0.2713,143094598.0,
2021-12-27,0.2715,0.3576,0.2535,0.274,318199484.0,
2022-01-03,0.2738,0.3248,0.2101,0.2175,184483926.0,
2022-01-10,0.2177,0.2492,0.1955,0.2383,122938162.0,
2022-01-17,0.2383,0.2395,0.1423,0.168,141662003.0,
2022-01-24,0.168,0.1759,0.1469,0.1598,75263280.0,
2022-01-31,0.1598,0.1995,0.1539,0.1876,126950428.0,
2022-02-07,0.1877,0.295,0.1785,0.2054,545051519.0,
2022-02-14,0.2049,0.2691,0.1755,0.1806,319054153.0,
2022-02-21,0.181,0.1963,0.1418,0.1591,154596255.0,
2022-02-28,0.159,0.1864,0.1552,0.161,131674566.0,
2022-03-07,0.1611,0.1725,0.1495,0.1502,99364850.0,
2022-03-14,0.1502,0.23,0.148,0.1765,317195730.0,
2022-03-21,0.1765,0.2234,0.1702,0.2208,274032684.0,
2022-03-28,0.2207,0.233,0.1855,0.2239,276478596.0,
2022-04-04,0.2237,0.2774,0.1899,0.218,619301699.0,
2022-04-11,0.2178,0.3058,0.1906,0.231,977601668.0,
2022-04-18,0.2307,0.265,0.2106,0.2111,469679229.0,
2022-04-25,0.2111,0.2198,0.1556,0.1655,253528575.0,
2022-05-02,0.1654,0.21,0.15,0.1818,485566490.0,
2022-05-09,0.182,0.1918,0.1671,0.1679,13665860.0,
